Study,Country,lat,long
Chase2015,USA,38.473662,-99.463829
CreedandDePaula2007,Brazil,-10.675,-49.166497
Daffornetal2009,Australia,-25.274399,133.775131
Daffornetal2012,Australia,-25.274399,133.775131
Gilgetal2010,USA,38.473662,-99.463829
Lee2018,Australia,-25.274399,133.775131
Maetal2017,Canada,60.665997,-107.230883
Rochaetal2010,Brazil,-10.675,-49.166497
TyrellandByers2007,USA,38.473662,-99.463829
Urh2017,USA,38.473662,-99.463829
AlSofyaniandSatheesh2019,Saudi-Arabia,24.402358,44.63463
AndersonandUnderwood1994,Australia,-25.274399,133.775131
Beckeretal20202021,Germany,50.943634,10.379393
DiPreta2019,USA,38.473662,-99.463829
GlasbyandConnell2001,Australia,-25.274399,133.775131
Glasby2000,Australia,-25.274399,133.775131
Glasby2001,Australia,-25.274399,133.775131
Grahametal2016,USA,38.473662,-99.463829
Hatcher1998,UK,53.796325,-3.146225
HollowayandConnell2002,Australia,-25.274399,133.775131
Leclercetal2020,Chile,-23.76527,-69.693112
Norris1991,USA,38.473662,-99.463829
PerkolFinkeletal2008,Israel,31.121622,34.889024
Ricoetal2012,Argentina,-35.681095,-64.30192
Sokolowskietal2016,Poland,52.269265,19.184607
Ushiamaetal2016,Australia,-25.274399,133.775131
Sowaetal2023,Norway,61.123011,8.685017
